age,n_obs1990,n_obs1991,n_obs1992,n_obs1993,n_obs1994,n_obs1995,n_obs1996,n_obs1997,n_obs1998,n_obs1999,n_obs2000,n_obs2001,n_obs2002,n_obs2003,n_obs2004,n_obs2005,n_obs2006,n_obs2007,n_obs2008,n_obs2009,n_obs2010,n_obs2011,n_obs2012,n_obs2013,n_obs2014,n_obs2015,n_obs2016,n_obs2017,n_obs2018,n_obs2019,n_obs2020,n_obs2021,n_obs2022,survival_rate1990,survival_rate1991,survival_rate1992,survival_rate1993,survival_rate1994,survival_rate1995,survival_rate1996,survival_rate1997,survival_rate1998,survival_rate1999,survival_rate2000,survival_rate2001,survival_rate2002,survival_rate2003,survival_rate2004,survival_rate2005,survival_rate2006,survival_rate2007,survival_rate2008,survival_rate2009,survival_rate2010,survival_rate2011,survival_rate2012,survival_rate2013,survival_rate2014,survival_rate2015,survival_rate2016,survival_rate2017,survival_rate2018,survival_rate2019,survival_rate2020,survival_rate2021,survival_rate2022
37,50392,49643,50480,52164,52842,53756,54437,56686,58063,60130,63549,64769,65740,67373,63744,59337,58432,58706,51139,51075,49044,49228,49924,47103,44825,45686,44080,43700,41809,42195,41559,42972,45823,.99380857,1.0075942,1.0068146,1.0220459,1.0158775,1.0094687,1.0126201,1.0166003,1.0039096,1.0046566,1.0028954,.98043817,.99374807,1.0078815,1.0095695,1.0269309,1.0067086,.82982999,.97283876,1.0132746,1.0054033,.99943119,1.00657,1.0039912,1.016754,.99903691,1.0107305,1.0168879,1.0034442,1.0015879,1.0240381,1.0227823,1.0062414
38,48769,50080,50020,50824,53314,53681,54265,55124,57627,58290,60410,63733,63502,65329,67904,64354,60935,58824,48716,49750,51753,49309,49200,50252,47291,45576,45642,44553,44438,41953,42262,42558,43951,.99538642,1.0097444,1.0056578,1.0269951,1.0181754,1.0082525,1.0134894,1.0175241,1.0030195,1.0060388,1.0031121,.9820658,.9887405,1.0052044,1.0104265,1.0211953,1.0056946,.8352713,.96740294,1.0185126,1.0015072,.99906713,1.0120935,1.0038805,1.0183333,.98867828,1.0124447,1.0163625,1.0046806,1.0048625,1.0245848,1.0185629,1.0070078
39,47821,48544,50568,50303,52196,54283,54124,54997,56090,57801,58642,60598,62590,62787,65669,68612,65718,61282,49134,47128,50671,51831,49263,49795,50447,48158,45060,46210,45282,44646,42157,43301,43348,.99652874,1.0116389,1.0068423,1.0268373,1.0172811,1.0083083,1.0135615,1.0159463,1.0006597,1.0062975,1.0011255,.98140204,.99226713,1.0100658,1.0108271,1.0203755,1.0046258,.8314513,.97077382,1.0174419,1.0016381,.99677801,1.0054199,1.0021889,1.017444,.99069726,1.007035,1.0135901,1.001568,1.0005375,1.0204948,1.0129097,1.0040371
40,49247,47655,49109,50914,51653,53098,54734,54858,55874,56127,58165,58708,59471,62106,63419,66380,70010,66022,50953,47698,47950,50754,51664,49530,49904,51327,47710,45377,46838,45353,44670,43021,43860,.99845678,1.0121708,1.0061699,1.0238049,1.013765,1.0089645,1.0092264,1.0128149,1.0001789,1.0043294,1.0048311,.98463583,.99285364,1.0049109,1.0060391,1.0184845,1.005942,.83140469,.96942282,1.0127678,1.0033159,.99950743,1.0099876,1.0111043,1.022403,.98920643,1.0066652,1.0163078,1.0033947,1.0035279,1.0226774,1.0217568,1.0067259
41,48878,49171,48235,49412,52126,52364,53574,55239,55561,55884,56370,58446,57806,59046,62411,63802,67607,70426,54891,49395,48307,48109,50729,52180,50080,51022,50773,48028,46117,46997,45513,45683,43957,.99615371,1.0123854,1.0044988,1.0242046,1.0133907,1.0073524,1.0106021,1.0136678,.99955004,1.0058514,1.0024127,.97799677,.99269974,1.0054533,1.0108795,1.0231341,1.0021003,.83046037,.96893847,1.0145966,1.0052166,.99866968,1.0064263,1.004887,1.0140176,.98390889,1.0077206,1.0154701,1.0031658,1.0031917,1.0189396,1.0137907,1.0026162
42,51134,48690,49780,48452,50608,52824,52749,54142,55994,55536,56211,56506,57160,57384,59368,63090,65278,67749,58486,53186,50116,48559,48045,51055,52435,50782,50201,51165,48771,46263,47147,46375,46313,.99655807,1.0113575,1.0020891,1.0247668,1.0150568,1.009011,1.0091566,1.0103801,1.0009823,1.0046817,.99994665,.98391318,.99210989,.99890214,1.0070239,1.0166429,1.0016698,.83394587,.97149748,1.0150228,1.0035917,.99493402,1.008055,1.006209,1.0203681,.98802727,1.0085257,1.0131536,.99977446,1.0010376,1.0146987,1.0121186,1.0066288
43,54033,50958,49243,49884,49652,51370,53300,53232,54704,56049,55796,56208,55597,56709,57321,59785,64140,65387,56499,56819,53985,50296,48313,48432,51372,53503,50174,50629,51838,48760,46311,47840,46937,.99513263,1.0137564,1.0029243,1.0233542,1.0179046,1.0076309,1.0060976,1.0111775,.99819028,1.0006779,1.0025988,.98309851,.98938793,1.0065598,1.0112175,1.0141339,1.0004989,.83360606,.96799946,1.0109823,1.0027415,.99791235,1.0085484,1.0049967,1.0217044,.98628116,1.0041655,1.0123249,1.0013889,1.0070754,1.0168859,1.010995,1.0032171
44,55513,53770,51659,49387,51049,50541,51762,53625,53827,54605,56087,55941,55258,55007,57081,57964,60630,64172,54507,54691,57443,54133,50191,48726,48674,52487,52769,50383,51253,51910,49105,47093,48366,.99547851,1.0106565,.99816102,1.0198635,1.0157888,1.0031261,1.0062208,1.0102937,.99728763,1.0022526,1.0021217,.98582435,.9893952,1.0018543,1.0017344,1.010403,1.0024246,.83528644,.96677488,1.0112998,1.0013231,.99554801,1.0027295,1.0019497,1.0211612,.98605371,1.0064621,1.0112141,.99877083,1.0030245,1.0153955,1.008685,1.0010958
45,53277,55262,54343,51564,50368,51855,50699,52084,54177,53681,54728,56206,55148,54672,55109,57180,58567,60777,53602,52696,55309,57519,53892,50328,48821,49704,51755,53110,50948,51190,52067,49861,47502,.99350566,1.0111469,1.0007361,1.0182686,1.0140566,1.0025263,1.0052861,1.0076416,.99961239,1.0015461,1.0016263,.97649717,.99289185,1.0029448,1.0047905,1.0163344,1.0000683,.82950789,.96537441,1.0073819,.99933106,.99172449,1.0047503,1.0028613,1.0192745,.98048449,1.0040575,1.0106947,.9999215,1.0051963,1.0148847,1.0057961,1.0013894
46,49707,52931,55878,54383,52506,51076,51986,50967,52482,54156,53764,54817,54885,54756,54833,55373,58114,58571,50415,51746,53085,55272,57043,54148,50472,49762,48734,51965,53678,50944,51456,52842,50150,.99404508,1.0050066,.99441642,1.0132394,1.0141127,1.0044835,1.0045974,1.0127141,1.000705,1.0002586,.99914443,.98310745,.99240232,.99671268,1.0033374,1.0143752,1.0000861,.83269876,.96512944,1.0106288,.99952906,.99439138,1.0026121,1.0022715,1.0191988,.97982395,1.0059302,1.0050611,.99526811,.99772298,1.0081428,1.0056962,.99617147
47,45149,49411,53196,55566,55103,53247,51305,52225,51615,52519,54170,53718,53891,54468,54576,55016,56169,58119,48772,48657,52296,53060,54962,57192,54271,51441,48758,49023,52228,53424,50828,51875,53143,.99164987,1.0032786,.99379653,1.0115539,1.012776,1.0034744,1.0037813,1.0079464,.99517584,.99800074,.99883699,.98199856,.98767883,1.0010465,1.0050021,1.0147412,.99953711,.82718217,.96184283,1.0094129,.99403393,.99114209,1.0004913,1.0009441,1.0203792,.97836357,1.0043275,1.0026722,.99624723,1.000393,1.0106044,1.0053976,.99463713
48,41527,44772,49573,52866,56208,55807,53432,51499,52640,51366,52414,54107,52751,53227,54525,54849,55827,56143,48075,46911,49115,51984,52590,54989,57246,55377,50328,48969,49154,52032,53445,51367,52155,.99043995,.99997765,.99435174,1.0079825,1.0031668,1.0012543,1.0059328,1.0074759,.99673253,1.0000194,.99832106,.98355108,.98921347,.99706918,1.0015773,1.0101187,.99460834,.82687068,.96139365,1.0067788,.9924463,.99195904,.99942952,.99859971,1.0218705,.97275043,1.0030798,1.0037984,.99401879,.99661744,1.0072598,1.0011292,.99522579
49,36358,41130,44771,49293,53288,56386,55877,53749,51884,52468,51367,52326,53217,52182,53071,54611,55404,55526,46423,46219,47229,48744,51566,52560,54912,58498,53868,50483,49155,48860,51856,53833,51425,.99196875,.99927062,.98805028,.99843794,.98973501,.99232078,.99992841,1.0026605,.9973017,1.0011054,.99770278,.97865307,.98831201,.99603313,1.0037309,1.0138983,.99391741,.82338005,.95967513,1.0012982,.9924199,.98951668,1.0000969,.99640411,1.0217439,.97172552,1.0015965,.99904919,.99265587,.99645925,1.0076944,1.0009845,.99368012
