age,n_obs1990,n_obs1991,n_obs1992,n_obs1993,n_obs1994,n_obs1995,n_obs1996,n_obs1997,n_obs1998,n_obs1999,n_obs2000,n_obs2001,n_obs2002,n_obs2003,n_obs2004,n_obs2005,n_obs2006,n_obs2007,n_obs2008,n_obs2009,n_obs2010,n_obs2011,n_obs2012,n_obs2013,n_obs2014,n_obs2015,n_obs2016,n_obs2017,n_obs2018,n_obs2019,n_obs2020,n_obs2021,n_obs2022,survival_rate1990,survival_rate1991,survival_rate1992,survival_rate1993,survival_rate1994,survival_rate1995,survival_rate1996,survival_rate1997,survival_rate1998,survival_rate1999,survival_rate2000,survival_rate2001,survival_rate2002,survival_rate2003,survival_rate2004,survival_rate2005,survival_rate2006,survival_rate2007,survival_rate2008,survival_rate2009,survival_rate2010,survival_rate2011,survival_rate2012,survival_rate2013,survival_rate2014,survival_rate2015,survival_rate2016,survival_rate2017,survival_rate2018,survival_rate2019,survival_rate2020,survival_rate2021,survival_rate2022
60,14236,13986,13884,13350,13703,14289,14683,15911,17540,18317,20926,22379,25692,28382,31695,35021,38063,38554,30748,29134,29531,29325,30164,31059,33907,38622,38288,37978,37871,38222,39437,40480,42142,.74452096,.7258687,.70556039,.74599248,.76508796,.76541394,.792413,.78147191,.7414481,.80690068,.85353148,.84963584,.87505841,.8682968,.87834042,.90105939,.89851034,.72332311,.86620265,.8921535,.89722663,.8952089,.9034279,.90994561,.88568729,.8608824,.96513265,.9681921,.96324366,.95588928,.96318179,.95508891,.95016849
61,11359,10599,10152,9796,9959,10484,10937,11635,12434,13005,14780,17861,19014,22482,24644,27839,31556,34200,27887,26634,25992,26496,26252,27251,28262,30031,33249,36953,36770,36479,36536,37985,38662,.75279516,.77111048,.78812057,.80063289,.79485893,.81552845,.82572919,.83025354,.79226315,.82014608,.80142087,.71211016,.72830546,.72004271,.72569388,.74395633,.73482066,.59035087,.71549469,.7448374,.75026929,.75751054,.76687491,.77597153,.8078692,.81286007,.81250566,.86999702,.9428882,.93445545,.93871796,.93592209,.93505251
62,9287,8551,8173,8001,7843,7916,8550,9031,9660,9851,10666,11845,12719,13848,16188,17884,20711,23188,20190,19953,19838,19501,20071,20132,21146,22832,24411,27015,32149,34670,34088,34297,35551,.7428664,.72400886,.68787473,.6906637,.68736452,.67761493,.69649124,.69161779,.65124226,.68429601,.69866866,.71836215,.75163144,.75635469,.76717323,.78578615,.78262758,.61113507,.75542349,.77898061,.79136002,.8028819,.81256539,.81755412,.86115575,.7934916,.7991479,.83416623,.79626113,.76123452,.80066299,.88296354,.92571235
63,7120,6899,6191,5622,5526,5391,5364,5955,6246,6291,6741,7452,8509,9560,10474,12419,14053,16209,14171,15252,15543,15699,15657,16309,16459,18210,18117,19508,22535,25599,26392,27293,30283,.7480337,.72488767,.72492325,.73141229,.74411869,.74253386,.74627143,.74878252,.69868714,.74391991,.74677348,.82595277,.75719827,.83043933,.82461333,.85232306,.85141963,.65142822,.82259542,.84828222,.85955095,.87050128,.87507182,.88215095,.91329974,.86611754,.86393994,.84293622,.80497003,.80667216,.83790541,.82387424,.8121388
64,5732,5326,5001,4488,4112,4112,4003,4003,4459,4364,4680,5034,6155,6443,7939,8637,10585,11965,10559,11657,12938,13360,13666,13701,14387,15032,15772,15652,16444,18140,20650,22114,22486,.68248427,.66147202,.66926616,.6900624,.73103112,.70841438,.73869598,.74069446,.68602824,.70989919,.74273503,.84386176,.67278636,.67328882,.404459,.39817065,.37581483,.47421646,.60346621,.62391698,.62351215,.62949103,.61437142,.60462737,.59817892,.57969666,.59624654,.61397904,.76599365,.81102538,.81970942,.80225199,.82522458
65,4219,3912,3523,3347,3097,3006,2913,2957,2965,3059,3098,3476,4248,4141,4338,3211,3439,3978,5674,6372,7273,8067,8410,8396,8284,8606,8714,9404,9610,12596,14712,16927,17741,.72220904,.68992841,.71359634,.7215417,.74103969,.73619425,.74596637,.7538045,.71231031,.75187969,.75887668,.88262373,.67608285,.75682205,.60627019,.59171599,.53387612,.85822022,.69298553,.70731324,.69971126,.70001239,.68097502,.69580752,.68638337,.68231469,.67821896,.68226284,.71207076,.6673547,.75842851,.81520647,.84262443
66,3328,3047,2699,2514,2415,2295,2213,2173,2229,2112,2300,2351,3068,2872,3134,2630,1900,1836,3414,3932,4507,5089,5647,5727,5842,5686,5872,5910,6416,6843,8406,11158,13799,.43960336,.43518215,.42756575,.42879874,.44223604,.38474944,.42159963,.39392546,.34096009,.38162878,.38304347,.40961292,.30573663,.36733982,.36183789,.38365018,.5705263,1.045207,.68658465,.73779249,.73596627,.7484771,.75969541,.73022527,.74392331,.74657053,.72547686,.73570222,.74454486,.74806374,.69664526,.66015416,.62888616
67,1711,1463,1326,1154,1078,1068,883,933,856,760,806,881,963,938,1055,1134,1009,1084,1919,2344,2901,3317,3809,4290,4182,4346,4245,4260,4348,4777,5119,5856,7366,.54120398,.62132603,.5942685,.66291159,.64842302,.53651685,.65232164,.50482315,.57943922,.57763159,.58312654,.62542564,.51817238,.55650318,.5270142,.63315696,.66105056,1.2177122,.74465865,.77090442,.78076524,.75097978,.77080601,.76107228,.78933525,.76714218,.74723202,.76948357,.7674793,.76889259,.75170934,.73172814,.70730382
68,1016,926,909,788,765,699,573,576,471,496,439,470,551,499,522,556,718,667,1320,1429,1807,2265,2491,2936,3265,3301,3334,3172,3278,3337,3673,3848,4285,.64468503,.64362854,.69196922,.74873096,.74771243,.5865522,.76614308,.58506942,.7324841,.69153225,.75398636,.75744683,.70054448,.77154309,.74521071,.80575538,.72701949,1.3268366,.69772726,.81455564,.78638625,.79028696,.80168605,.78644413,.80428791,.80460465,.76514697,.77395964,.76601589,.77374887,.75524098,.77001041,.75519252
69,845,655,596,629,590,572,410,439,337,345,343,331,356,386,385,389,448,522,885,921,1164,1421,1790,1997,2309,2626,2656,2551,2455,2511,2582,2774,2963,.30650887,.29160306,.34395972,.35294119,.41016948,.34965035,.41951218,.38952163,.4421365,.41159421,.48396501,.50151056,.45786518,.58808291,.54805195,.58868897,.59821427,1.0210727,.64632767,.76221496,.71048111,.71850806,.68938547,.68803203,.71849287,.70677835,.74058735,.73265386,.73238289,.74193549,.73082882,.72963232,.75227809
70,290,259,191,205,222,242,200,172,171,149,142,166,166,163,227,211,229,268,533,572,702,827,1021,1234,1374,1659,1856,1967,1869,1798,1863,1887,2024,.51724136,.49806949,.62303662,.64878047,.61261261,.54545456,.78500003,.46511629,.56140351,.64429528,.63380283,.58433735,.59036142,.65644169,.56387663,.67772514,.61572051,1.1902986,.72607881,.77097905,.80769229,.78839177,.71694416,.77066451,.76637554,.74623269,.78609914,.77275038,.76243979,.76918799,.79012346,.77530473,.79743081
71,156,150,129,119,133,136,132,157,80,96,96,90,97,98,107,128,143,141,319,387,441,567,652,732,951,1053,1238,1459,1520,1425,1383,1472,1463,.65384614,.67333335,.86046511,.89075631,.82706767,.63235295,.84090906,.57961786,.78750002,.69791669,.80208331,.68888891,.72164947,.71428573,.73831773,.6875,.79020977,1.7304964,.78683388,.86821705,.77777779,.84479719,.79754603,.84016395,.8128286,.84425449,.81744748,.79986292,.80328947,.80842108,.82791036,.796875,.82296652
72,121,102,101,111,106,110,86,111,91,63,67,77,62,70,70,79,88,113,244,251,336,343,479,520,615,773,889,1012,1167,1221,1152,1145,1173,.75206614,.68627453,.73267329,.8018018,.7264151,.56363636,.81395346,.52252251,.76923078,.76190478,.74626863,.71428573,.91935486,.95714283,.75714284,.82278478,.85227275,1.6017699,.8442623,.87250996,.8035714,.8833819,.79958248,.81153846,.81300813,.81500649,.7862767,.83992094,.81662381,.8018018,.84809029,.80698693,.79283887
73,102,91,70,74,89,77,62,70,58,70,48,50,55,57,67,53,65,75,181,206,219,270,303,383,422,500,630,699,850,953,979,977,924,.64705884,.69230771,.82857144,.74324322,.7977528,.48051947,.77419353,.69999999,.91379309,.72857141,.79166669,.80000001,.76363635,.71929824,.64179105,.94339621,.81538463,2.3599999,.81767958,.84951454,.82648402,.85185188,.77887791,.91383815,.84597158,.85799998,.8206349,.86552215,.84117645,.85519415,.84678245,.81678605,.86471862
74,71,66,63,58,55,71,37,48,49,53,51,38,40,42,41,43,50,53,177,148,175,181,230,236,350,357,429,517,605,715,815,829,798,.70422536,.77272725,.93650794,.7758621,.65454543,.69014084,.91891891,.875,.75510204,.81132078,.66666669,.7631579,.82499999,.71428573,.73170733,.95348835,.81999999,1.9245284,.74011302,.81756759,.82857144,.91712707,.80869567,.82203388,.79142857,.7927171,.81818181,.79883945,.8066116,.820979,.806135,.85283476,.85338348
