1.011825200000000091e+00,1.029576899999999906e+00,1.039210200000000084e+00,1.091760199999999958e+00,1.072359899999999922e+00,1.049261999999999917e+00,1.072099700000000100e+00,1.075035699999999927e+00,1.052536099999999974e+00,1.061934099999999992e+00,1.063315900000000092e+00,1.041482000000000019e+00,1.050606799999999952e+00,1.101058199999999987e+00,1.129713299999999920e+00,1.141613400000000000e+00,1.135256400000000054e+00,9.591254000000000168e-01,1.023713499999999943e+00,1.093754899999999974e+00,1.112586599999999981e+00,1.124784800000000029e+00,1.153218999999999994e+00,1.174937600000000026e+00,1.202703199999999972e+00,1.184507999999999894e+00,1.219165000000000054e+00,1.210854400000000108e+00,1.181829800000000041e+00,1.199035199999999968e+00,1.282232199999999933e+00,1.238243100000000041e+00,1.201714600000000077e+00
1.007138300000000042e+00,1.030036399999999963e+00,1.034429599999999949e+00,1.074453199999999997e+00,1.054783599999999932e+00,1.044279900000000039e+00,1.071052600000000021e+00,1.071603199999999978e+00,1.052924200000000088e+00,1.054068100000000063e+00,1.054440999999999962e+00,1.039561900000000039e+00,1.049846999999999975e+00,1.078304300000000104e+00,1.108155000000000001e+00,1.117625199999999985e+00,1.104928300000000085e+00,9.385752099999999931e-01,1.021878099999999900e+00,1.085474800000000073e+00,1.092935200000000107e+00,1.107883600000000079e+00,1.117794399999999966e+00,1.142508899999999938e+00,1.167734100000000108e+00,1.150513899999999978e+00,1.170687999999999951e+00,1.164934300000000089e+00,1.139665200000000045e+00,1.141363600000000034e+00,1.197650000000000103e+00,1.163353800000000104e+00,1.131020399999999926e+00
9.999818200000000212e-01,1.023833500000000063e+00,1.027195099999999917e+00,1.056478100000000087e+00,1.042821500000000068e+00,1.041286699999999898e+00,1.058116000000000057e+00,1.059076300000000082e+00,1.035273200000000005e+00,1.041426500000000033e+00,1.043175799999999986e+00,1.027031900000000109e+00,1.034072000000000102e+00,1.073190199999999983e+00,1.088130499999999889e+00,1.099375800000000014e+00,1.086631200000000019e+00,9.231721200000000405e-01,1.010166799999999920e+00,1.064972899999999889e+00,1.074138899999999897e+00,1.069010100000000074e+00,1.093310000000000004e+00,1.106283700000000092e+00,1.115131400000000106e+00,1.099820999999999938e+00,1.123977299999999957e+00,1.119636700000000040e+00,1.088247799999999987e+00,1.084900100000000034e+00,1.131801199999999952e+00,1.112104800000000004e+00,1.075992199999999954e+00
9.995866399999999707e-01,1.016821100000000033e+00,1.018185399999999907e+00,1.041173799999999927e+00,1.033637399999999928e+00,1.030213400000000057e+00,1.041252099999999903e+00,1.048493899999999979e+00,1.023992100000000072e+00,1.027210500000000026e+00,1.028464199999999940e+00,1.013619999999999965e+00,1.015843199999999946e+00,1.048540199999999922e+00,1.058756100000000089e+00,1.076938500000000021e+00,1.057199999999999918e+00,9.011834300000000075e-01,9.938124999999999876e-01,1.037036999999999987e+00,1.045676700000000015e+00,1.046256099999999911e+00,1.066583899999999918e+00,1.067032900000000062e+00,1.077899099999999999e+00,1.063827499999999926e+00,1.090131299999999914e+00,1.088761799999999891e+00,1.060323600000000033e+00,1.056034099999999976e+00,1.094125400000000026e+00,1.071427099999999966e+00,1.040809799999999896e+00
9.935457699999999948e-01,1.011485200000000084e+00,1.014716600000000080e+00,1.035633100000000084e+00,1.028101200000000048e+00,1.019509800000000022e+00,1.034971000000000085e+00,1.037667300000000070e+00,1.016718999999999928e+00,1.018439300000000047e+00,1.015363699999999980e+00,9.984086199999999689e-01,1.009840099999999907e+00,1.037322599999999984e+00,1.045232399999999950e+00,1.057720100000000052e+00,1.042939499999999908e+00,8.867412199999999967e-01,9.864809500000000231e-01,1.025448799999999938e+00,1.024872400000000017e+00,1.024038699999999968e+00,1.035842099999999988e+00,1.040823199999999948e+00,1.054213000000000067e+00,1.041863399999999995e+00,1.062978600000000107e+00,1.054027999999999965e+00,1.032314500000000024e+00,1.037147999999999959e+00,1.069570200000000026e+00,1.045046099999999978e+00,1.022424500000000069e+00
9.944836500000000523e-01,1.008033600000000085e+00,1.012599900000000108e+00,1.033435099999999940e+00,1.024933700000000059e+00,1.018899199999999894e+00,1.027093100000000092e+00,1.030933000000000099e+00,1.010070900000000105e+00,1.013248600000000055e+00,1.009728299999999912e+00,9.891625600000000240e-01,9.995842000000000338e-01,1.019931300000000096e+00,1.036685899999999938e+00,1.045159699999999914e+00,1.031150599999999917e+00,8.716260200000000014e-01,9.752308100000000035e-01,1.015101800000000054e+00,1.028687799999999930e+00,1.025296900000000067e+00,1.030674300000000043e+00,1.036691400000000041e+00,1.043477100000000046e+00,1.031087599999999993e+00,1.046869899999999909e+00,1.042737400000000036e+00,1.024555700000000069e+00,1.027822500000000083e+00,1.054917199999999999e+00,1.044389599999999918e+00,1.019045200000000095e+00
9.933221899999999938e-01,1.008339499999999944e+00,1.010257600000000089e+00,1.028024599999999955e+00,1.017397399999999896e+00,1.012545199999999923e+00,1.026618800000000054e+00,1.030092599999999914e+00,1.005730199999999908e+00,1.013572799999999940e+00,1.006165600000000104e+00,9.886704099999999995e-01,9.957981099999999586e-01,1.019811000000000023e+00,1.030054699999999990e+00,1.037789899999999932e+00,1.026164300000000029e+00,8.641675699999999960e-01,9.768600499999999798e-01,1.014862200000000048e+00,1.012896699999999983e+00,1.010918999999999901e+00,1.019606199999999907e+00,1.016554600000000086e+00,1.034640299999999957e+00,1.021799899999999983e+00,1.034837100000000065e+00,1.036611699999999914e+00,1.012564699999999984e+00,1.020979599999999987e+00,1.047087300000000054e+00,1.035951300000000019e+00,1.014506099999999966e+00
9.915564100000000547e-01,1.006467900000000082e+00,1.007303099999999896e+00,1.026383899999999905e+00,1.014192600000000111e+00,1.014515599999999962e+00,1.023091600000000101e+00,1.022836999999999996e+00,1.007152599999999953e+00,1.008906400000000092e+00,1.006434400000000062e+00,9.891882499999999911e-01,9.956508299999999867e-01,1.018325799999999948e+00,1.018678399999999984e+00,1.030319599999999891e+00,1.020521599999999918e+00,8.499062099999999953e-01,9.762694800000000228e-01,1.009736100000000025e+00,1.007700400000000052e+00,1.009108300000000069e+00,1.018099099999999924e+00,1.017650600000000072e+00,1.032232999999999956e+00,1.014831199999999933e+00,1.032283700000000026e+00,1.031484599999999974e+00,1.010757200000000022e+00,1.015293400000000013e+00,1.042298100000000005e+00,1.027673700000000023e+00,1.008487799999999934e+00
9.913242500000000179e-01,1.006690700000000049e+00,1.008217900000000000e+00,1.023709100000000038e+00,1.016989900000000002e+00,1.014046800000000026e+00,1.020825000000000093e+00,1.025886199999999970e+00,1.005999400000000099e+00,1.006882499999999903e+00,1.005368000000000039e+00,9.802677600000000435e-01,9.931465400000000221e-01,1.011998900000000035e+00,1.017225400000000057e+00,1.035203600000000002e+00,1.014185099999999951e+00,8.460848300000000100e-01,9.747316200000000208e-01,1.009082599999999941e+00,1.007335400000000103e+00,1.004866999999999955e+00,1.015618300000000085e+00,1.016510999999999942e+00,1.023041099999999926e+00,1.009897899999999904e+00,1.027232499999999993e+00,1.023616599999999988e+00,1.012068500000000038e+00,1.013748600000000000e+00,1.038559599999999916e+00,1.024805699999999931e+00,1.009879100000000030e+00
9.959608300000000192e-01,1.007509900000000069e+00,1.007055500000000103e+00,1.025998100000000024e+00,1.015065899999999965e+00,1.012113800000000063e+00,1.019302799999999953e+00,1.019768199999999903e+00,1.003763100000000019e+00,1.006356199999999923e+00,1.000377300000000025e+00,9.819141599999999803e-01,9.929145600000000016e-01,1.006273399999999985e+00,1.014310199999999940e+00,1.028598799999999924e+00,1.009911900000000085e+00,8.389173699999999956e-01,9.700910400000000156e-01,1.012115199999999993e+00,1.003410300000000088e+00,1.004007499999999942e+00,1.015842799999999935e+00,1.007188900000000054e+00,1.014338699999999927e+00,1.003430499999999892e+00,1.019950300000000087e+00,1.020630399999999938e+00,1.007843899999999904e+00,1.009210200000000057e+00,1.027259600000000050e+00,1.024990800000000091e+00,1.009935599999999933e+00
